Virginia,South,1,23.2,34.22,0.98,0.88,0.73,0.49,0.32,0.17
Duke,East,1,21.3,30.62,0.99,0.91,0.72,0.52,0.32,0.19
Gonzaga,West,1,23.1,32.58,0.95,0.88,0.71,0.5,0.26,0.15
UNC,MidWest,1,18.9,27.69,0.98,0.86,0.57,0.35,0.18,0.09
Tennessee,South,2,17.1,26.24,0.95,0.69,0.44,0.21,0.11,0.05
Michigan St.,East,2,19.8,30.81,0.96,0.74,0.54,0.22,0.12,0.07
Michigan,West,2,17.8,28.32,0.94,0.69,0.4,0.17,0.08,0.04
Kentucky,MidWest,2,18.3,27.57,0.97,0.73,0.47,0.24,0.11,0.05
Purdue,South,3,17.4,26.81,0.88,0.51,0.25,0.1,0.05,0.02
LSU,East,3,12.7,20.22,0.84,0.49,0.16,0.04,0.01,0.00438
Texas Tech,West,3,18.8,30.03,0.91,0.65,0.34,0.14,0.06,0.03
Houston,MidWest,3,15.9,24.13,0.89,0.53,0.23,0.1,0.03,0.01
Kansas State,South,4,12.7,20.06,0.77,0.41,0.1,0.04,0.02,0.00687
Virginia Tech,East,4,16.5,24.07,0.89,0.62,0.19,0.1,0.04,0.02
Florida St.,West,4,14.6,22.39,0.79,0.54,0.15,0.07,0.03,0.01
Kansas,MidWest,4,14.2,21.57,0.83,0.38,0.16,0.08,0.03,0.01
Wisconsin,South,5,14.3,21.94,0.6,0.33,0.9,0.04,0.02,0.00717
Mississippi St.,East,5,12.9,20.04,0.79,0.31,0.06,0.02,0.00716,0.00249
Marquette,West,5,11.5,16.52,0.64,0.26,0.05,0.02,0.00628,0.00234
Auburn,MidWest,5,16.4,25,0.77,0.49,0.21,0.11,0.05,0.02
Villanova,South,6,12.5,17.33,0.75,0.39,0.15,0.05,0.02,0.00716
Maryland,East,6,12,19.29,0.62,0.31,0.13,0.04,0.01,0.00386
Buffalo,West,6,12.6,19.85,0.66,0.24,0.09,0.03,0.00884,0.00324
Iowa State,MidWest,6,14.5,22.09,0.67,0.33,0.15,0.06,0.02,0.0086
Cincinnati,South,7,11.8,17.5,0.68,0.23,0.11,0.04,0.01,0.00476
Louisville,East,7,13.4,19.35,0.68,0.19,0.11,0.03,0.01,0.0042
Nevada,West,7,12.9,18.18,0.58,0.18,0.1,0.04,0.01,0.00403
